Date,Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Capacity (1000 m3/d), Throughput (1000 m3/d),Throughput (GJ/d)
1,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8915,363955
2,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8630,351689
3,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8798,358577
4,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8925,362787
5,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9147,373117
6,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9112,371849
7,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8666,353447
8,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8468,345322
9,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8531,347300
10,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8225,332421
11,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6779,273192
12,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6558,264842
13,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7755,313696
14,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6382,259567
15,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8843,360493
16,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8286,338150
17,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7524,307277
18,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7692,313486
19,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7062,288046
20,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5518,225258
21,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7292,297444
22,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7912,321638
23,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7597,307907
24,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8280,337004
25,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8022,326977
26,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8058,328741
27,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7195,293656
28,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5743,234358
29,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6083,247833
30,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6806,275968
31,1,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8328,337115
1,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7544,305815
2,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7582,306985
3,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6618,269152
4,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6545,266517
5,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7001,285167
6,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8074,327040
7,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8193,332310
8,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8217,332752
9,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8203,332126
10,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8083,328152
11,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7574,307488
12,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8300,336993
13,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8115,330978
14,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8020,327188
15,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7704,314374
16,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6039,245845
17,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7365,300625
18,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9791,398667
19,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8565,348289
20,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8313,337531
21,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8297,336523
22,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7949,323421
23,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7790,317163
24,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5443,221891
25,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,4428,180301
26,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7621,310008
27,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8170,332870
28,2,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8020,325489
1,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7871,320504
2,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7486,305693
3,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7101,290011
4,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7177,292624
5,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6681,268993
6,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6118,246970
7,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8444,342490
8,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5981,242935
9,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6047,245987
10,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6297,255967
11,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7551,307151
12,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7648,309042
13,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7999,323003
14,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7748,314958
15,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7474,304564
16,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6116,249430
17,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5786,235364
18,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6288,254909
19,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6845,275984
20,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5076,204706
21,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6345,255832
22,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5853,236536
23,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7950,320423
24,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5976,240801
25,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,4976,201711
26,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,4313,174838
27,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,15,619
28,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,2604,106302
29,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,3402,137467
30,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,3926,160409
31,3,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,4155,170117
1,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,3384,138280
2,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,2961,120790
3,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,3089,125895
4,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,3603,147070
5,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,3725,152008
6,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,1919,78327
7,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,3589,146727
8,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,4091,167144
9,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,4444,181203
10,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6914,280923
11,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6248,249627
12,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7964,316391
13,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8153,325352
14,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8392,336361
15,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7463,299435
16,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8555,341489
17,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9030,362507
18,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9061,364870
19,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8760,351815
20,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8300,333688
21,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7405,297001
22,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9159,366197
23,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7233,288503
24,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5828,232094
25,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6241,248803
26,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6797,272967
27,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9802,391351
28,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7898,314732
29,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8431,336100
30,4,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8384,335657
1,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8287,334372
2,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8191,331124
3,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8018,324315
4,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7766,311772
5,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7165,286718
6,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6676,267231
7,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8034,320322
8,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8044,321881
9,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8617,345484
10,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9378,375691
11,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7687,309231
12,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7445,300177
13,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,1829,73759
14,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335, -   , -   
15,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335, -   , -   
16,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335, -   , -   
17,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,116,4692
18,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335, -   , -   
19,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,5778,231272
20,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,10418,419606
21,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9894,399039
22,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8286,330050
23,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9068,362708
24,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9614,386194
25,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8826,355425
26,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7517,303018
27,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7680,309136
28,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8961,357714
29,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8955,358490
30,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9379,376960
31,5,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8560,345193
1,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7651,308407
2,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,3743,150555
3,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335, -   , -   
4,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335, -   , -   
5,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335, -   , -   
6,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335, -   , -   
7,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,1194,48059
8,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6311,254484
9,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8370,337773
10,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8152,329473
11,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8389,335936
12,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9025,363878
13,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8907,357172
14,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8814,353989
15,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8947,360368
16,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8389,338956
17,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7745,312460
18,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8906,359387
19,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,9508,382264
20,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,8844,356875
21,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,7971,321511
22,6,2006,Maritimes & Northeast Pipeline,Canadian Mainline,"Baileyville, Ma. / St. Stephen N.B.",45.20503,-67.45449,South,Export,13335,6220,250856
