Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000 m3/d,Capacity (1000 m3/d),Reason for variance from nameplate capacity
6,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic heavy,6,not available,not available
7,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic light,14,not available,not available
7,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic heavy,1,not available,not available
7,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic light,8,not available,not available
7,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic heavy,0,not available,not available
7,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,refined petroleum products,8,not available,not available
7,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic light,0,not available,not available
7,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic heavy,3,not available,not available
8,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic light,16,not available,not available
8,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic heavy,2,not available,not available
8,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic light,9,not available,not available
8,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic heavy,0,not available,not available
8,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,refined petroleum products,9,not available,not available
8,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic light,0,not available,not available
8,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic heavy,2,not available,not available
9,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic light,16,not available,not available
9,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic heavy,1,not available,not available
9,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic light,8,not available,not available
9,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic heavy,0,not available,not available
9,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,refined petroleum products,10,not available,not available
9,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic light,1,not available,not available
9,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic heavy,4,not available,not available
10,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic light,11,not available,not available
10,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic heavy,1,not available,not available
10,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic light,7,not available,not available
10,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic heavy,0,not available,not available
10,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,refined petroleum products,9,not available,not available
10,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic light,3,not available,not available
10,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic heavy,3,not available,not available
11,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic light,10,not available,not available
11,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic heavy,1,not available,not available
11,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic light,5,not available,not available
11,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic heavy,0,not available,not available
11,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,refined petroleum products,14,not available,not available
11,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic light,5,not available,not available
11,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic heavy,3,not available,not available
12,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic light,12,not available,not available
12,2006,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic heavy,2,not available,not available
12,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic light,7,not available,not available
12,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic heavy,0,not available,not available
12,2006,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,refined petroleum products,12,not available,not available
12,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic light,1,not available,not available
12,2006,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic heavy,2,not available,not available
1,2007,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic light,12,not available,not available
1,2007,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic heavy,3,not available,not available
1,2007,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic light,8,not available,not available
1,2007,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,domestic heavy,0,not available,not available
1,2007,Trans Mountain Pipeline ULC,Trans Mountain,Burnaby,49.2685,-122.9313,West,intracanada,refined petroleum products,10,not available,not available
1,2007,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic light,1,not available,not available
1,2007,Trans Mountain Pipeline ULC,Trans Mountain,Westridge,49.2908,-122.9503,West,export,domestic heavy,3,not available,not available
2,2007,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic light,13,not available,not available
2,2007,Trans Mountain Pipeline ULC,Trans Mountain,Sumas,49.0766,-122.2027,South,export,domestic heavy,4,not available,not available
