user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x1006589060754780162,x1039242229032906752,2018-09-10T20:00:30Z,SuitsAndBootsCA,"""The cost to SK, by not having projects like #TMX, #EnergyEast, #NorthernGateway, not having that ample access to world markets, is about $2.6B""
@PremierScottMoe 
2018: CDN will lose $15B due to lack of pipelines 
We can't afford #C69
#KillBillC69
#bcpoli #abpoli #cdnpoli #skpoli https://t.co/GVVRZQPskF",Hootsuite Inc.,280,NA,NA,NA,FALSE,FALSE,10,6,TMX EnergyEast NorthernGateway C69 KillBillC69 bcpoli abpoli cdnpoli skpoli,NA,NA,NA,NA,http://pbs.twimg.com/media/DmwhTLnVsAEuBc6.jpg,https://t.co/GVVRZQPskF,https://twitter.com/SuitsAndBootsCA/status/1039242229032906752/photo/1,photo,http://pbs.twimg.com/media/DmwhTLnVsAEuBc6.jpg,https://t.co/GVVRZQPskF,https://twitter.com/SuitsAndBootsCA/status/1039242229032906752/photo/1,NA,x204646101,PremierScottMoe,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/SuitsAndBootsCA/status/1039242229032906752,Suits and Boots Canada,Canada,We are a not-for-profit organization of investment industry professionals who support Canada’s resource sector. #KillBillC69,https://t.co/2u31SVic56,FALSE,1884,4328,10,952,887,2018-06-12T17:28:28Z,FALSE,https://t.co/2u31SVic56,https://suitsandboots.ca/,en,https://pbs.twimg.com/profile_banners/1006589060754780162/1528824756,NA,http://pbs.twimg.com/profile_images/1006589921975459840/yNrwPFwe_normal.jpg
x1006589060754780162,x1035927094121848832,2018-09-01T16:27:20Z,SuitsAndBootsCA,"The @GreenpeaceCA express is working overtime - delivering steeply discounted #Canadian #oil to a #market that controls 99% of our oil #exports
The solution is simple: #BuildThatPipeline
https://t.co/X4h78A0koq
#bcpoli #abpoli #ableg #cdnpoli #EnergyEast #TMP #KeystoneXL #Line3",Twitter Web Client,278,NA,NA,NA,FALSE,FALSE,18,13,Canadian oil market exports BuildThatPipeline bcpoli abpoli ableg cdnpoli EnergyEast TMP KeystoneXL Line3,NA,nationalpost.com/news/canada/ju…,https://t.co/X4h78A0koq,https://nationalpost.com/news/canada/just-as-trans-mountain-is-quashed-neb-confirms-there-are-more-oil-trains-than-ever,NA,NA,NA,NA,NA,NA,NA,NA,x15193285,GreenpeaceCA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/SuitsAndBootsCA/status/1035927094121848832,Suits and Boots Canada,Canada,We are a not-for-profit organization of investment industry professionals who support Canada’s resource sector. #KillBillC69,https://t.co/2u31SVic56,FALSE,1884,4328,10,952,887,2018-06-12T17:28:28Z,FALSE,https://t.co/2u31SVic56,https://suitsandboots.ca/,en,https://pbs.twimg.com/profile_banners/1006589060754780162/1528824756,NA,http://pbs.twimg.com/profile_images/1006589921975459840/yNrwPFwe_normal.jpg
x1006589060754780162,x1037468279273476096,2018-09-05T22:31:27Z,SuitsAndBootsCA,"The same guy who would like to be #PM has a message for #Canadians:
Stop building #pipelines &amp; keep buying #Saudi 
https://t.co/xqMsIcOAvb
#bcpoli #abpoli #cdnpoli #ableg #skpoli #mbpoli #onpoli #qcpoli #EnergyEast #TMP @theJagmeetSingh",Twitter Web Client,240,NA,NA,NA,FALSE,FALSE,13,5,PM Canadians pipelines Saudi bcpoli abpoli cdnpoli ableg skpoli mbpoli onpoli qcpoli EnergyEast TMP,NA,globalnews.ca/video/4426138/…,https://t.co/xqMsIcOAvb,https://globalnews.ca/video/4426138/jagmeet-singh-calls-on-trudeau-to-end-trans-mountain-pipeline-expansion-plans,NA,NA,NA,NA,NA,NA,NA,NA,x253340075,theJagmeetSingh,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/SuitsAndBootsCA/status/1037468279273476096,Suits and Boots Canada,Canada,We are a not-for-profit organization of investment industry professionals who support Canada’s resource sector. #KillBillC69,https://t.co/2u31SVic56,FALSE,1884,4328,10,952,887,2018-06-12T17:28:28Z,FALSE,https://t.co/2u31SVic56,https://suitsandboots.ca/,en,https://pbs.twimg.com/profile_banners/1006589060754780162/1528824756,NA,http://pbs.twimg.com/profile_images/1006589921975459840/yNrwPFwe_normal.jpg
x1006589060754780162,x1038849555540967425,2018-09-09T18:00:09Z,SuitsAndBootsCA,"“Once #TM clears all the hurdles I hope there is the poli will in CDN to restart the #EnergyEast discussion. We need #market access &amp; need to stop buying #oil from foreign countries with horrible human rights &amp; enviro records.”
- Edson Mayor @kevinzahara 
#bcpoli #abpoli #cdnpoli",Hootsuite Inc.,288,NA,NA,NA,FALSE,FALSE,32,9,TM EnergyEast market oil bcpoli abpoli cdnpoli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x160033836,kevinzahara,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/SuitsAndBootsCA/status/1038849555540967425,Suits and Boots Canada,Canada,We are a not-for-profit organization of investment industry professionals who support Canada’s resource sector. #KillBillC69,https://t.co/2u31SVic56,FALSE,1884,4328,10,952,887,2018-06-12T17:28:28Z,FALSE,https://t.co/2u31SVic56,https://suitsandboots.ca/,en,https://pbs.twimg.com/profile_banners/1006589060754780162/1528824756,NA,http://pbs.twimg.com/profile_images/1006589921975459840/yNrwPFwe_normal.jpg
x770841666131374080,x1039211529755742208,2018-09-10T17:58:30Z,BCvanguards,@jkenney @RonaAmbrose Frustration is an understatement.  #ABpoli #TMX #EnergyEast #Quebec #Welfare https://t.co/3KHXWEd8Z0,Twitter Web Client,76,x1039210037493657601,x21525682,jkenney,FALSE,FALSE,5,2,ABpoli TMX EnergyEast Quebec Welfare,NA,NA,NA,NA,http://pbs.twimg.com/media/DmwFOSrUcAY7Q2u.jpg,https://t.co/3KHXWEd8Z0,https://twitter.com/BCvanguards/status/1039211529755742208/photo/1,photo,http://pbs.twimg.com/media/DmwFOSrUcAY7Q2u.jpg,https://t.co/3KHXWEd8Z0,https://twitter.com/BCvanguards/status/1039211529755742208/photo/1,NA,x21525682 x277155475,jkenney RonaAmbrose,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BCvanguards/status/1039211529755742208,BCvanguard,NA,NA,NA,FALSE,315,360,15,8938,3144,2016-08-31T04:32:29Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/770841666131374080/1520963278,NA,http://pbs.twimg.com/profile_images/973624486502084608/U4sEx_-E_normal.jpg
x770841666131374080,x1036282497187733505,2018-09-02T15:59:35Z,BCvanguards,"Saudi Arabia beheads citizens and commits war crimes.  So, why does Canada still import Saudi Oil??  #EthicalOil  #EnergyEast #TransMountain https://t.co/4erruGu4Yo",Twitter Web Client,164,NA,NA,NA,TRUE,FALSE,1,0,EthicalOil EnergyEast TransMountain,NA,twitter.com/nationalpost/s…,https://t.co/4erruGu4Yo,https://twitter.com/nationalpost/status/1036281224887771136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1036281224887771136,Rights group says Saudi-led coalition airstrike on Yemen bus was 'apparent war crime' https://t.co/FFxOcFnTUe https://t.co/oT0GI3kEUg,2018-09-02T15:54:31Z,Echobox Social,11,11,x14216661,nationalpost,National Post,786112,11673,297988,Canada,"News, analysis & commentary by the National Post. The Post on Twitter: http://t.co/nROivtrhuV | Post Staff http://t.co/mZtHmswYEP",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BCvanguards/status/1036282497187733505,BCvanguard,NA,NA,NA,FALSE,315,360,15,8938,3144,2016-08-31T04:32:29Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/770841666131374080/1520963278,NA,http://pbs.twimg.com/profile_images/973624486502084608/U4sEx_-E_normal.jpg
x770841666131374080,x1038151868474580992,2018-09-07T19:47:48Z,BCvanguards,"#Nigeria: 

Where homosexuality is illegal and punishable with death.  

Canada imports oil from this medieval nation.

Where are the protests?

Where are the calls to boycott Nigerian oil?

#EnergyEast 

@ElizabethMay @jjhorgan @AJWVictoriaBC @JustinTrudeau",Twitter Web Client,258,NA,NA,NA,FALSE,FALSE,4,0,Nigeria EnergyEast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x16220555 x232427887 x862167372 x14260960,ElizabethMay jjhorgan AJWVictoriaBC JustinTrudeau,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BCvanguards/status/1038151868474580992,BCvanguard,NA,NA,NA,FALSE,315,360,15,8938,3144,2016-08-31T04:32:29Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/770841666131374080/1520963278,NA,http://pbs.twimg.com/profile_images/973624486502084608/U4sEx_-E_normal.jpg
x770841666131374080,x1036292565887119360,2018-09-02T16:39:35Z,BCvanguards,"@StumpyJoChilds There are 15 oil refineries in Canada.  But refineries like the one in Burnaby are under constant protest.   Why would any private company want to build energy infrastructure in Canada?  It's not worth the trouble. 
#TransMountain #EnergyEast
https://t.co/BTpoQnN2tl",Twitter Web Client,266,x1036290685366722560,x2864949016,StumpyJoChilds,FALSE,FALSE,2,1,TransMountain EnergyEast,NA,straight.com/blogra/655086/…,https://t.co/BTpoQnN2tl,https://www.straight.com/blogra/655086/activists-chained-chevrons-burnaby-refinery-pacific-trail-pipeline-protest,NA,NA,NA,NA,NA,NA,NA,NA,x2864949016,StumpyJoChilds,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BCvanguards/status/1036292565887119360,BCvanguard,NA,NA,NA,FALSE,315,360,15,8938,3144,2016-08-31T04:32:29Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/770841666131374080/1520963278,NA,http://pbs.twimg.com/profile_images/973624486502084608/U4sEx_-E_normal.jpg
x770841666131374080,x1036295135913369600,2018-09-02T16:49:48Z,BCvanguards,"@StumpyJoChilds Kinder Morgan won 16 court cases relating to #TransMountain only to lose case number 17.  Until the approval process changes there will be no more pipelines built in Canada.

TransCanada lost 1 billion dollars on #EnergyEast fiasco.   https://t.co/1vqKPLJOKH",Twitter Web Client,258,x1036294071474577408,x2864949016,StumpyJoChilds,FALSE,FALSE,0,0,TransMountain EnergyEast,NA,business.financialpost.com/commodities/en…,https://t.co/1vqKPLJOKH,https://business.financialpost.com/commodities/energy/transcanada-terminates-plan-for-energy-east-pipeline,NA,NA,NA,NA,NA,NA,NA,NA,x2864949016,StumpyJoChilds,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BCvanguards/status/1036295135913369600,BCvanguard,NA,NA,NA,FALSE,315,360,15,8938,3144,2016-08-31T04:32:29Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/770841666131374080/1520963278,NA,http://pbs.twimg.com/profile_images/973624486502084608/U4sEx_-E_normal.jpg
x2579703422,x1038877820175376384,2018-09-09T19:52:28Z,PipelineAction,“Once #TransMountain clears all the hurdles I hope there is the political will in Canada to restart the #EnergyEast discussion. We need market access and need to stop buying oil from foreign countries with horrible human rights and environmental records.” https://t.co/tS2evD6ILo,Twitter for iPhone,279,NA,NA,NA,FALSE,FALSE,38,22,TransMountain EnergyEast,NA,edsonleader.com/news/local-new…,https://t.co/tS2evD6ILo,https://www.edsonleader.com/news/local-news/mayors-react-on-trans-mountain-pipeline-demise,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/PipelineAction/status/1038877820175376384,Pipeline Action,NA,"130,166 km of pipelines are planned or under construction all over the world. Canada’s natural resources backstop our quality of life.",NA,FALSE,7189,3571,77,6800,2190,2014-06-21T03:09:01Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/2579703422/1467067472,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/711412663591370753/c-evre0F_normal.jpg
x816267878,x1038853893646516224,2018-09-09T18:17:23Z,MikeFAnthony,Will an apology for the 8000 or so families facing impending financial gloom due to Trudeau's #TMX and #EnergyEast policy bungling be in the works anytime soon? https://t.co/eOOgCyR3a2,Twitter Web Client,160,NA,NA,NA,TRUE,FALSE,0,0,TMX EnergyEast,NA,twitter.com/CP24/status/10…,https://t.co/eOOgCyR3a2,https://twitter.com/CP24/status/1037900299799810053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1037900299799810053,Canada to formally apologize in November for turning away German Jews in 1939 https://t.co/04RC4qPheD https://t.co/bbVjL0dGuq,2018-09-07T03:08:09Z,TweetDeck,456,128,x19636948,CP24,CP24,1788240,389,164546,Toronto,Official account of CP24 - Toronto and the GTA's #1 source for breaking news. Our Twitter account is LIVE 24 hours a day.,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/MikeFAnthony/status/1038853893646516224,Mike Anthony,Edmonton AB Canada,Technology & human achievement enthusiast. News & public affairs junkie. Music addict. Conservative libertarian. All on one cup of java per day.,NA,FALSE,121,306,5,4394,2147,2012-09-10T23:52:04Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/816267878/1479953035,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/551430055495090177/T9QpchNy_normal.jpeg
x1596234775,x1038817274281451523,2018-09-09T15:51:53Z,pwm4u,#libtards #energyeast #pipe #exports #jobs #geopolitics #saboutage  #istrudeaucastro https://t.co/FGo2WxrgeR,Twitter for iPad,84,NA,NA,NA,TRUE,FALSE,0,0,libtards energyeast pipe exports jobs geopolitics saboutage istrudeaucastro,NA,twitter.com/leonardroxon/s…,https://t.co/FGo2WxrgeR,https://twitter.com/leonardroxon/status/1038476867005833217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,und,x1038476867005833217,"Gerald Butts in 2012, ""We don’t believe there ought to be a carbon based energy industry by the middle of this century,” Look at Trudeau’s friends surrounding him. NL, AB &amp; SK citizens, just how much does Justin Trudeau actually care about YOUR well being?
https://t.co/jfOUWoWaM0",2018-09-08T17:19:13Z,Twitter Web Client,106,87,x423610335,LeonardRoxon,Leonard Roxon,1293,69,2524,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/pwm4u/status/1038817274281451523,Paul W. Mahon,East Coast,Fitness:Physical & Financial,https://t.co/VBEFk9xFCd,FALSE,2909,4991,822,296300,62723,2013-07-15T16:22:56Z,FALSE,https://t.co/VBEFk9xFCd,http://www.HealthisWealth.ws,en,https://pbs.twimg.com/profile_banners/1596234775/1373922027,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/435877926299389952/xxsIUUMG_normal.jpeg
x1596234775,x1038822983387643904,2018-09-09T16:14:34Z,pwm4u,#pipes #istrudeaucastro #exports #jobs #energy #geopolitics #energyeast https://t.co/yWeYXTl2qY,Twitter for iPad,71,NA,NA,NA,TRUE,FALSE,0,0,pipes istrudeaucastro exports jobs energy geopolitics energyeast,NA,twitter.com/LeonardRoxon/s…,https://t.co/yWeYXTl2qY,https://twitter.com/LeonardRoxon/status/1036792594431389697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,und,x1036792594431389697,"Whatever your opinions are on Canadian oil &amp; economy, the court ruling killing Trans Mountain is a major blow for Canada! Only hope is to revive Energy East, which can effectively address multiple issues from economy &amp; energy independence to environment. https://t.co/maSWlOqze9",2018-09-04T01:46:31Z,Twitter Web Client,39,21,x423610335,LeonardRoxon,Leonard Roxon,1293,69,2524,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/pwm4u/status/1038822983387643904,Paul W. Mahon,East Coast,Fitness:Physical & Financial,https://t.co/VBEFk9xFCd,FALSE,2909,4991,822,296300,62723,2013-07-15T16:22:56Z,FALSE,https://t.co/VBEFk9xFCd,http://www.HealthisWealth.ws,en,https://pbs.twimg.com/profile_banners/1596234775/1373922027,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/435877926299389952/xxsIUUMG_normal.jpeg
x14634364,x1036996368751939585,2018-09-04T15:16:15Z,KenChapman46,"Oh yes we must build #tmx AND #EnergyEast pipelines then use the tax revenues to advance cleantech applied innovation, change  fossil fuel consumption patterns &amp; diversify uses of hydrocarbons beyond combustion. #abenergy #oilsands #abpoli https://t.co/WtUXrBYnrc",Twitter for Android,243,NA,NA,NA,TRUE,FALSE,2,0,tmx EnergyEast abenergy oilsands abpoli,NA,twitter.com/CDNCrickles/st…,https://t.co/WtUXrBYnrc,https://twitter.com/CDNCrickles/status/1036981493690560512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1036981493690560512,@KenChapman46 So i guess we shouldn’t build the pipeline? I don’t entirely understand what conservatives are looking for as an alternative strategy. Do they even know what they’d do differently?,2018-09-04T14:17:08Z,Twitter for iPhone,0,0,x2466218935,CDNCrickles,Andrew,384,1098,8208,calgary alberta,#Oilers fan in #YYC. MRU HPED Grad 2018. Also have a BA in social demographics. co-host of the @BattleDOTCast podcast,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/KenChapman46/status/1036996368751939585,Ken Chapman,The Bitumen Triangle,"As an Albertan and natural resources Owner, I am looking for balanced Triple Bottom Line approach to responsible resource and infrastructure development.",NA,FALSE,9755,8515,377,54944,6198,2008-05-03T03:16:07Z,FALSE,NA,NA,en,NA,http://abs.twimg.com/images/themes/theme5/bg.gif,http://pbs.twimg.com/profile_images/956052566110023680/uCt056qA_normal.jpg
x14634364,x1036292593368195072,2018-09-02T16:39:42Z,KenChapman46,"Flawed pipeline approval process for #TMX, #ENERGYEAST &amp; #NorthernGateway is proof of the old adage ""If you don't have the time to do it right, when will you find the time to fix it."" #abenergy, #abpoli #cdnpoli #oilsands",Twitter for Android,225,NA,NA,NA,FALSE,FALSE,23,13,TMX ENERGYEAST NorthernGateway abenergy abpoli cdnpoli oilsands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/KenChapman46/status/1036292593368195072,Ken Chapman,The Bitumen Triangle,"As an Albertan and natural resources Owner, I am looking for balanced Triple Bottom Line approach to responsible resource and infrastructure development.",NA,FALSE,9755,8515,377,54944,6198,2008-05-03T03:16:07Z,FALSE,NA,NA,en,NA,http://abs.twimg.com/images/themes/theme5/bg.gif,http://pbs.twimg.com/profile_images/956052566110023680/uCt056qA_normal.jpg
x14634364,x1038555553377611776,2018-09-08T22:31:54Z,KenChapman46,#tmx and even #Energyeast are the means to the post combustion ends for Alberta hydrocarbons. We must aspire to achieve that and show leadership on the journey. #abenergy #abpoli #ableg https://t.co/08WyDStHya,Twitter for Android,185,NA,NA,NA,TRUE,FALSE,1,1,tmx Energyeast abenergy abpoli ableg,NA,twitter.com/LeonardRoxon/s…,https://t.co/08WyDStHya,https://twitter.com/LeonardRoxon/status/1038511899934117888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1038511899934117888,"@KenChapman46 Great Utopian ideology. The KEY word in your statement being ""transition""! Not ""KILL"" OR ""DESTROY"" or DECIMATE"", but to ""TRANSITION"". It is a process. Not a sudden widespread total stoppage of ALL oil projects. THAT is NOT ""transition""!",2018-09-08T19:38:26Z,Twitter Web Client,0,0,x423610335,LeonardRoxon,Leonard Roxon,1293,69,2524,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/KenChapman46/status/1038555553377611776,Ken Chapman,The Bitumen Triangle,"As an Albertan and natural resources Owner, I am looking for balanced Triple Bottom Line approach to responsible resource and infrastructure development.",NA,FALSE,9755,8515,377,54944,6198,2008-05-03T03:16:07Z,FALSE,NA,NA,en,NA,http://abs.twimg.com/images/themes/theme5/bg.gif,http://pbs.twimg.com/profile_images/956052566110023680/uCt056qA_normal.jpg
x1393812230,x1037586451817525248,2018-09-06T06:21:02Z,CanadaAction,"1. Level the playing field for #EnergyEast

2. Restart #NorthernGateway

3. Make #TransMountain the federal governments number one priority.

https://t.co/9bXv8NuG3F",Twitter for iPhone,165,NA,NA,NA,TRUE,FALSE,83,42,EnergyEast NorthernGateway TransMountain,NA,twitter.com/ctvnews/status…,https://t.co/9bXv8NuG3F,https://twitter.com/ctvnews/status/1037079551908536320?s=21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1037079551908536320,Prime Minister Trudeau says a dependence on the U.S. for oil exports is 'not a wise strategy' and Canada needs access to 'new markets.’ #cdnpoli https://t.co/WmJbIO9GbJ,2018-09-04T20:46:47Z,SnappyTV.com,996,290,x203123011,CTVNews,CTV News,700140,323,136143,NA,Tweeting breaking news from CTVNews.ca in the CTV National newsroom. RTs do not constitute endorsement of views.,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/CanadaAction/status/1037586451817525248,Canada Action,Canada,"Join us! We advocate for having informed conversations about our resources and our country! We're a non-partisan, non-profit that's proud to be Canadian 🇨🇦",https://t.co/zWf5RLi0tq,FALSE,13850,1326,123,11065,2933,2013-05-01T04:56:02Z,FALSE,https://t.co/zWf5RLi0tq,http://www.canadaaction.ca/free_stickers,en,https://pbs.twimg.com/profile_banners/1393812230/1463889053,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/710689665334910977/GgHEUaF7_normal.jpg
