user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x2903980214,x1039357323280506883,2018-09-11T03:37:50Z,RantingCanuck,"Pipeline hope, the Eagle Spirit pipeline! A First Nations led pipeline proposal that will finally get 
AB oil to tidewater! @RachelNotley &amp; @jkenney need to get behind this ASAP! https://t.co/wxLzERQClW #abpoli #cdnpoli #TMX",Twitter Web Client,228,NA,NA,NA,FALSE,FALSE,0,0,abpoli cdnpoli TMX,NA,theguardian.com/world/2018/sep…,https://t.co/wxLzERQClW,https://www.theguardian.com/world/2018/sep/08/canada-oil-pipeline-first-nations-proposal-indigenous-rights,NA,NA,NA,NA,NA,NA,NA,NA,x42836999 x21525682,RachelNotley jkenney,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/RantingCanuck/status/1039357323280506883,Ranting Canuck,NA,NA,NA,FALSE,1,11,0,47,17,2014-11-18T22:31:02Z,FALSE,NA,NA,en,NA,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/534837082888237057/a1A60v8M_normal.png
x15698452,x1039355836798185472,2018-09-11T03:31:56Z,davecournoyer,"I am excited to share a link to the latest episode of the @Daveberta Podcast. @RyanHastman and I discuss #TMX approval being quashed and @RachelNotley's response, rumours of an early federal election, the #Calgary2026 bid and more: https://t.co/X2rQDsfDAf #ableg #cdnpoli #yeg",Twitter Web Client,276,NA,NA,NA,FALSE,FALSE,3,0,TMX Calgary2026 ableg cdnpoli yeg,NA,daveberta.ca/2018/09/episod…,https://t.co/X2rQDsfDAf,http://daveberta.ca/2018/09/episode-19-quashing-pipelines-and-political-dreams,NA,NA,NA,NA,NA,NA,NA,NA,x17983991 x36126551 x42836999,daveberta RyanHastman RachelNotley,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/davecournoyer/status/1039355836798185472,Dave Cournoyer,"Edmonton, Canada / Treaty 6 Territory",Husband & Dad | Alberta politics writer & co-host of @daveberta podcast | Comms Advisor with @UnitedNurses | @UAlberta alumnus | @SteelworkersCA member | 🇨🇦,https://t.co/HFmXnJenle,FALSE,16220,2906,508,30795,20696,2008-08-02T05:09:52Z,FALSE,https://t.co/HFmXnJenle,http://www.daveberta.ca,en,https://pbs.twimg.com/profile_banners/15698452/1528055279,http://abs.twimg.com/images/themes/theme6/bg.gif,http://pbs.twimg.com/profile_images/891500574562172928/PYR-UM6s_normal.jpg
x943327721878208512,x1039352975762673664,2018-09-11T03:20:34Z,vx_MoKo,"Being sloppy af with Knifer
———————————————————
Tags 
#rotationpolice #zoom #movingalong #donutmedia #formuladrift #drift #drifting #sideways #sidewayz #slideways #slidewayz #esda #omgdrift #turn10 #sikky #xbox #forza #forzamotorsport #fm7 #nissan #thrustmaster #tmx https://t.co/NDf7GoPP5E",Twitter for iPhone,266,NA,NA,NA,FALSE,FALSE,0,0,rotationpolice zoom movingalong donutmedia formuladrift drift drifting sideways sidewayz slideways slidewayz esda omgdrift turn10 sikky xbox forza forzamotorsport fm7 nissan thrustmaster tmx,NA,NA,NA,NA,http://pbs.twimg.com/ext_tw_video_thumb/1039352729443811328/pu/img/4c1bdg1fCG-q3Ltc.jpg,https://t.co/NDf7GoPP5E,https://twitter.com/vx_MoKo/status/1039352975762673664/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/1039352729443811328/pu/img/4c1bdg1fCG-q3Ltc.jpg,https://t.co/NDf7GoPP5E,https://twitter.com/vx_MoKo/status/1039352975762673664/video/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/vx_MoKo/status/1039352975762673664,vx MoKo,"Fresno, CA",ESDA Pro am Driver | Thrustmaster TMX Pro | 16,https://t.co/aAyDsz29sl,FALSE,131,128,0,723,1285,2017-12-20T03:50:29Z,FALSE,https://t.co/aAyDsz29sl,https://www.youtube.com/channel/UC4GkzkOFU3Dy2zPB_PwB4Qg,en,https://pbs.twimg.com/profile_banners/943327721878208512/1536535556,NA,http://pbs.twimg.com/profile_images/1035947269965529089/IOL7EZyw_normal.jpg
x2832435736,x1039346848652120064,2018-09-11T02:56:13Z,OrlandoSilvoza,Back on Grinding #TMX #futuresuperstars #doesntstop #workhardplayharder https://t.co/18ZTrIjCmS,Twitter for iPhone,71,NA,NA,NA,FALSE,FALSE,0,0,TMX futuresuperstars doesntstop workhardplayharder,NA,NA,NA,NA,http://pbs.twimg.com/media/DmyAchsU0AAQVTx.jpg,https://t.co/18ZTrIjCmS,https://twitter.com/OrlandoSilvoza/status/1039346848652120064/photo/1,photo,http://pbs.twimg.com/media/DmyAchsU0AAQVTx.jpg,https://t.co/18ZTrIjCmS,https://twitter.com/OrlandoSilvoza/status/1039346848652120064/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/OrlandoSilvoza/status/1039346848652120064,Orlando,"Newport Beach, CA",let the Good Time Roll,NA,FALSE,179,1374,0,217,494,2014-10-15T18:34:51Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/2832435736/1536472155,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1039346994949410817/NwdpGxVR_normal.jpg
x37897909,x1039333145399709703,2018-09-11T02:01:46Z,aartisanjay,"@CBCQueensPark Doug has shown a way for @JustinTrudeau to get #TMX going again.

#NotwithstandingClause",Twitter Web Client,88,x1039269247099314178,x36065127,CBCQueensPark,FALSE,FALSE,0,0,TMX NotwithstandingClause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x36065127 x14260960,CBCQueensPark JustinTrudeau,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/aartisanjay/status/1039333145399709703,Sanjay Jain,"Toronto, 🇨🇦",Tweets from this account may not be kosher. You have been warned. Follower discretion is adviced.,NA,FALSE,160,442,0,14131,2708,2009-05-05T10:34:07Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/37897909/1365512719,http://abs.twimg.com/images/themes/theme8/bg.gif,http://pbs.twimg.com/profile_images/652275391436996608/hJuaIaKX_normal.jpg
x543799267,x1039330215577755650,2018-09-11T01:50:07Z,TorranceCoste,"If the science says we can have either an iconic species or more infrastructure for a sunset industry, which will @JonathanWNV, @cathmckenna + @JustinTrudeau  choose?

https://t.co/ksa5icqn6h #cdnpoli #SalishSea #TransMountain #TMX #orcas",Hootsuite Inc.,238,NA,NA,NA,FALSE,FALSE,6,10,cdnpoli SalishSea TransMountain TMX orcas,NA,thenarwhal.ca/trans-mountain…,https://t.co/ksa5icqn6h,https://thenarwhal.ca/trans-mountain-vs-killer-whales-the-tradeoff-canadians-need-to-be-talking-about/,NA,NA,NA,NA,NA,NA,NA,NA,x2579359027 x140252240 x14260960,JonathanWNV cathmckenna JustinTrudeau,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/TorranceCoste/status/1039330215577755650,Torrance Coste,Unceded Malahat Territory,Settler. Vancouver Island Campaigner with @wildernews. Member of @CYD_DJC to #COP21. Advocating environmental + social justice. Dog person. Views my own. he/him,NA,FALSE,3702,2440,215,22466,40321,2012-04-02T23:02:05Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/543799267/1517945933,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/639856587197190144/3Wfak5cX_normal.jpg
x543799267,x1037750568041603072,2018-09-06T17:13:10Z,TorranceCoste,"2/2 It's become crystal clear that @cathmckenna understands #TMX is a bad project, totally incompatible with our #ParisAgreement #climate goals, + definitely not in the national interest.

It's time for her to say this publicly.

#cdnpoli #CANClimateAction @MarloRaynolds @gmbutts",Twitter Web Client,280,x1037750373383979008,x543799267,TorranceCoste,FALSE,FALSE,7,2,TMX ParisAgreement climate cdnpoli CANClimateAction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x140252240 x24443188 x212621119,cathmckenna MarloRaynolds gmbutts,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/TorranceCoste/status/1037750568041603072,Torrance Coste,Unceded Malahat Territory,Settler. Vancouver Island Campaigner with @wildernews. Member of @CYD_DJC to #COP21. Advocating environmental + social justice. Dog person. Views my own. he/him,NA,FALSE,3702,2440,215,22466,40321,2012-04-02T23:02:05Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/543799267/1517945933,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/639856587197190144/3Wfak5cX_normal.jpg
x543799267,x1037397400485126144,2018-09-05T17:49:48Z,TorranceCoste,"They could call it the When You're In A Hole, Stop Digging Act of 2018.

#cdnpoli #TMX #NotMyPipeline #NoConsentNoPipeline #ClimateLeadersDontBuildPipelines https://t.co/g1Z08LGF2v",Twitter Web Client,156,NA,NA,NA,TRUE,FALSE,12,5,cdnpoli TMX NotMyPipeline NoConsentNoPipeline ClimateLeadersDontBuildPipelines,NA,twitter.com/s_malcolmson/s…,https://t.co/g1Z08LGF2v,https://twitter.com/s_malcolmson/status/1037396109323395072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1037396109323395072,".@NDP urge Liberal govt 2 cancel expansion of #Transmountain pipeline, overhaul review process &amp; invest in clean energy jobs. Trudeau’s reckless decision 2 buy #TMX put taxpayers on hook for billions &amp; left British Columbians w fundamentally flawed project https://t.co/xJatnYUK9K",2018-09-05T17:44:41Z,Twitter Web Client,57,35,x390346699,s_malcolmson,Sheila Malcolmson,4344,1850,19289,"Gabriola Island, BC","#MemberofParliament for #Nanaimo #Ladysmith, #NDP critic for #WomensEquality",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/TorranceCoste/status/1037397400485126144,Torrance Coste,Unceded Malahat Territory,Settler. Vancouver Island Campaigner with @wildernews. Member of @CYD_DJC to #COP21. Advocating environmental + social justice. Dog person. Views my own. he/him,NA,FALSE,3702,2440,215,22466,40321,2012-04-02T23:02:05Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/543799267/1517945933,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/639856587197190144/3Wfak5cX_normal.jpg
x543799267,x1038081881105788930,2018-09-07T15:09:41Z,TorranceCoste,"2/3 ..#TMX and other major projects are incompatible with #UNDRIP. Instead of showing the courage to tell this country that actual #reconciliation will require actually returning rights, including the right to say no, to Indigenous peoples, @JustinTrudeau continues to act like..",Twitter Web Client,279,x1038081877830074368,x543799267,TorranceCoste,FALSE,FALSE,1,1,TMX UNDRIP reconciliation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x14260960,JustinTrudeau,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/TorranceCoste/status/1038081881105788930,Torrance Coste,Unceded Malahat Territory,Settler. Vancouver Island Campaigner with @wildernews. Member of @CYD_DJC to #COP21. Advocating environmental + social justice. Dog person. Views my own. he/him,NA,FALSE,3702,2440,215,22466,40321,2012-04-02T23:02:05Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/543799267/1517945933,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/639856587197190144/3Wfak5cX_normal.jpg
x543799267,x1037440412581937152,2018-09-05T20:40:43Z,TorranceCoste,"Pipeline proponents: It doesn't matter if you stop #TransMountain, #tarsands will just move by other means waaaaaaaah!

Giant tarsands company: oh #TMX is up in the air? we're hitting pause

https://t.co/FJh09pghf3 #KeepItInTheGround #cdnpoli #ABetterWorldIsPossible",Twitter Web Client,266,NA,NA,NA,FALSE,FALSE,26,8,TransMountain tarsands TMX KeepItInTheGround cdnpoli ABetterWorldIsPossible,NA,theglobeandmail.com/business/artic…,https://t.co/FJh09pghf3,https://www.theglobeandmail.com/business/article-suncor-holding-off-on-crude-expansion-amid-pipeline-confusion/?utm_medium=Referrer:+Social+Network+/+Media&utm_campaign=Shared+Web+Article+Links,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/TorranceCoste/status/1037440412581937152,Torrance Coste,Unceded Malahat Territory,Settler. Vancouver Island Campaigner with @wildernews. Member of @CYD_DJC to #COP21. Advocating environmental + social justice. Dog person. Views my own. he/him,NA,FALSE,3702,2440,215,22466,40321,2012-04-02T23:02:05Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/543799267/1517945933,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/639856587197190144/3Wfak5cX_normal.jpg
x543799267,x1037861768301879296,2018-09-07T00:35:02Z,TorranceCoste,"""We can’t trust politicians, but we can trust one another.""

The inspiring @EmmaJackson57 on what truly drives the resistance to #fossilfuels and the fight for #climate justice: connection to eachother.

https://t.co/4KoCUUpEO3 #TMX #KeepItInTheGround #ABetterWorldIsPossible",Hootsuite Inc.,275,NA,NA,NA,FALSE,FALSE,9,6,fossilfuels climate TMX KeepItInTheGround ABetterWorldIsPossible,NA,teenvogue.com/story/activist…,https://t.co/4KoCUUpEO3,https://www.teenvogue.com/story/activists-block-oil-tanker-kinder-morgan-trans-mountain-pipeline-canada,NA,NA,NA,NA,NA,NA,NA,NA,x1143160141,EmmaJackson57,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/TorranceCoste/status/1037861768301879296,Torrance Coste,Unceded Malahat Territory,Settler. Vancouver Island Campaigner with @wildernews. Member of @CYD_DJC to #COP21. Advocating environmental + social justice. Dog person. Views my own. he/him,NA,FALSE,3702,2440,215,22466,40321,2012-04-02T23:02:05Z,FALSE,NA,NA,en,https://pbs.twimg.com/profile_banners/543799267/1517945933,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/639856587197190144/3Wfak5cX_normal.jpg
x1850166984,x1038136060683771904,2018-09-07T18:44:59Z,molszyns,"Now that #TMX is out of the way, this fall’s main CAD #envirolaw event will be Bills #C68 (Fisheries Act) &amp; #C69 (Impact Assessment, CAD Energy Regulator). Thread below is a crash course on what are supposed to be #betterrules. I think they are — but could still use improvement. https://t.co/Lzsn1b1Hxu",Twitter for iPhone,283,NA,NA,NA,TRUE,FALSE,4,4,TMX envirolaw C68 C69 betterrules,NA,twitter.com/molszyns/statu…,https://t.co/Lzsn1b1Hxu,https://twitter.com/molszyns/status/1033413791923372033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,x1033413791923372033,"This is an exceedingly bad take. If you can’t access it, it says that Bill #C69 “tries to do too much” for the environment in a deteriorating investment climate. Follow along and I’ll explain why it misses the mark, starting w/ baselines, the actual bill, &amp; then current context. https://t.co/l3SMrvkdlq",2018-08-25T18:00:22Z,Twitter for iPhone,41,33,x1850166984,molszyns,Martin Olszynski,1535,628,6429,"Calgary, AB",associate professor @UCalgaryLaw. environmental & natural resources law. co-editor @J_Env_Law_Prac. @ABlawg-er. perfection is the enemy of the good-as-it-gets.,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/molszyns/status/1038136060683771904,Martin Olszynski,"Calgary, AB",associate professor @UCalgaryLaw. environmental & natural resources law. co-editor @J_Env_Law_Prac. @ABlawg-er. perfection is the enemy of the good-as-it-gets.,https://t.co/jfaK0XfxGd,FALSE,1535,628,62,6429,8690,2013-09-10T03:18:04Z,FALSE,https://t.co/jfaK0XfxGd,http://contacts.ucalgary.ca/info/law/profiles/1-4253916,en,https://pbs.twimg.com/profile_banners/1850166984/1517634301,http://abs.twimg.com/images/themes/theme3/bg.gif,http://pbs.twimg.com/profile_images/958198107199627265/dKZPfEqc_normal.jpg
x1850166984,x1039327923025530880,2018-09-11T01:41:01Z,molszyns,"Lots of consternation re: judicial branch lately (#TMX, #Bill5). One thing to keep in mind: Gov’ts don’t react to judgments in “real time”. Well before decision comes out, they plan (eg Plan A if we win, Plan B if we lose). Doug almost certainly planned to use s 33 in this event.",Twitter for iPhone,280,NA,NA,NA,FALSE,FALSE,2,3,TMX Bill5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/molszyns/status/1039327923025530880,Martin Olszynski,"Calgary, AB",associate professor @UCalgaryLaw. environmental & natural resources law. co-editor @J_Env_Law_Prac. @ABlawg-er. perfection is the enemy of the good-as-it-gets.,https://t.co/jfaK0XfxGd,FALSE,1535,628,62,6429,8690,2013-09-10T03:18:04Z,FALSE,https://t.co/jfaK0XfxGd,http://contacts.ucalgary.ca/info/law/profiles/1-4253916,en,https://pbs.twimg.com/profile_banners/1850166984/1517634301,http://abs.twimg.com/images/themes/theme3/bg.gif,http://pbs.twimg.com/profile_images/958198107199627265/dKZPfEqc_normal.jpg
x1850166984,x1037398619769327616,2018-09-05T17:54:39Z,molszyns,"Now that the ""hot takes"" re: #TMX are all out of the way, I'll have an @ABlawg post up tomorrow on the #EA aspects of the decision.",Twitter Web Client,131,NA,NA,NA,FALSE,FALSE,27,4,TMX EA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x915027631,ABlawg,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/molszyns/status/1037398619769327616,Martin Olszynski,"Calgary, AB",associate professor @UCalgaryLaw. environmental & natural resources law. co-editor @J_Env_Law_Prac. @ABlawg-er. perfection is the enemy of the good-as-it-gets.,https://t.co/jfaK0XfxGd,FALSE,1535,628,62,6429,8690,2013-09-10T03:18:04Z,FALSE,https://t.co/jfaK0XfxGd,http://contacts.ucalgary.ca/info/law/profiles/1-4253916,en,https://pbs.twimg.com/profile_banners/1850166984/1517634301,http://abs.twimg.com/images/themes/theme3/bg.gif,http://pbs.twimg.com/profile_images/958198107199627265/dKZPfEqc_normal.jpg
x801127624487616512,x1039320652300398592,2018-09-11T01:12:07Z,PParseyan,Breaking News! #aboil #ableg #oilsands #cdnpoli #tmx https://t.co/uLLkozgnYI,Twitter for iPhone,52,NA,NA,NA,FALSE,FALSE,7,0,aboil ableg oilsands cdnpoli tmx,NA,NA,NA,NA,http://pbs.twimg.com/media/DmxonpJV4AcI14a.jpg,https://t.co/uLLkozgnYI,https://twitter.com/PParseyan/status/1039320652300398592/photo/1,photo,http://pbs.twimg.com/media/DmxonpJV4AcI14a.jpg,https://t.co/uLLkozgnYI,https://twitter.com/PParseyan/status/1039320652300398592/photo/1,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/PParseyan/status/1039320652300398592,Payman Parseyan,"Edmonton-Whitemud, Alberta",Proud supporter/professional of AB Oil & Gas sector. Small biz owner and Heavily active in the non-profit sector. Ex-Cop who respects discipline and composure.,https://t.co/vltky6Ygr0,FALSE,1063,443,10,276,2659,2016-11-22T18:18:04Z,FALSE,https://t.co/vltky6Ygr0,http://www.parseyan.ca,en,https://pbs.twimg.com/profile_banners/801127624487616512/1530673229,NA,http://pbs.twimg.com/profile_images/1012234048041725952/nYKzZ_k1_normal.jpg
x801127624487616512,x1037399780090146816,2018-09-05T17:59:16Z,PParseyan,"MASSIVE OIL SPILL in northern Alberta.

Happened roughly 65 million years ago. Crews are working around the clock to clean it up and get the bitumen out of the sand.

#ableg #aboil #oilsands #TMX",Twitter for iPhone,195,NA,NA,NA,FALSE,FALSE,51,14,ableg aboil oilsands TMX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/PParseyan/status/1037399780090146816,Payman Parseyan,"Edmonton-Whitemud, Alberta",Proud supporter/professional of AB Oil & Gas sector. Small biz owner and Heavily active in the non-profit sector. Ex-Cop who respects discipline and composure.,https://t.co/vltky6Ygr0,FALSE,1063,443,10,276,2659,2016-11-22T18:18:04Z,FALSE,https://t.co/vltky6Ygr0,http://www.parseyan.ca,en,https://pbs.twimg.com/profile_banners/801127624487616512/1530673229,NA,http://pbs.twimg.com/profile_images/1012234048041725952/nYKzZ_k1_normal.jpg
x801127624487616512,x1036524259554734080,2018-09-03T08:00:15Z,PParseyan,"Brush your teeth?

Wear make-up?

Shower?

Ride a bicycle?

Vegan Diet in Canada?

Enjoy Hot Yoga?

Take vitamins/allergy pills?

Have running water?

Can read this tweet?

Didn’t walk barefooted to work?

Visit another city?

Drink coffee?

THANK OIL &amp; GAS.
#ABOil #ABLeg #TMX",Twitter for iPhone,281,NA,NA,NA,FALSE,FALSE,64,28,ABOil ABLeg TMX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/PParseyan/status/1036524259554734080,Payman Parseyan,"Edmonton-Whitemud, Alberta",Proud supporter/professional of AB Oil & Gas sector. Small biz owner and Heavily active in the non-profit sector. Ex-Cop who respects discipline and composure.,https://t.co/vltky6Ygr0,FALSE,1063,443,10,276,2659,2016-11-22T18:18:04Z,FALSE,https://t.co/vltky6Ygr0,http://www.parseyan.ca,en,https://pbs.twimg.com/profile_banners/801127624487616512/1530673229,NA,http://pbs.twimg.com/profile_images/1012234048041725952/nYKzZ_k1_normal.jpg
x352421205,x1039311016448978946,2018-09-11T00:33:50Z,mrtp00,@CBCQueensPark @RachelNotley @JustinTrudeau @jkenney @TSXcapital At least someone has balls! #tmx #enbridge,Twitter for iPhone,92,x1039214307123376129,x36065127,CBCQueensPark,FALSE,FALSE,1,0,tmx enbridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x36065127 x42836999 x14260960 x21525682 x835663557400244225,CBCQueensPark RachelNotley JustinTrudeau jkenney TSXcapital,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/mrtp00/status/1039311016448978946,mrtp,NA,NA,NA,FALSE,6,65,2,1,1,2011-08-10T16:05:17Z,FALSE,NA,NA,en,NA,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/2208588811/image_normal.jpg
x921206280739438593,x1039304133465915392,2018-09-11T00:06:29Z,StandForTheAnth,@BNNBloomberg Maybe try the wine ban on @JustinTrudeau It sure scared the bejesus out of Horgan! #tmx,Twitter for Android,87,x1039260033505284097,x109350515,BNNBloomberg,FALSE,FALSE,0,0,tmx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x109350515 x14260960,BNNBloomberg JustinTrudeau,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/StandForTheAnth/status/1039304133465915392,Captain Tom Chandler,NA,Team USA,NA,FALSE,172,284,0,2188,1919,2017-10-20T02:47:47Z,FALSE,NA,NA,en,NA,NA,http://pbs.twimg.com/profile_images/921209586354237441/fEWNQOBY_normal.jpg
